material_id,formula,source_name,lambda_db,w_log_db,w_2_db,lambda,w_log,w_2,w_ratio,w_1,w_3,skew_a2f,kurt_a2f,frac_low,frac_high,n_peaks,peak_w,spectral_entropy,w_max,Tc_ME,Tc_AD,Tc_AD_nc,Tc_McM,Tc_ME_mu13,Tc_AD_mu13,capped,ad_error,ad_error_nc,ad_error_mu13,is_sc
0,Cs,Cs_mp_1,0.2004926698,2.0044189371,2.5015423079772208,0.2006497889049664,2.001151892519241,2.500571319877505,1.2495659770880998,2.2606601261683306,2.7096071521136675,0.4863023251156766,2.136794510872181,0.3119059307025676,0.2211508449257574,5,4.2500409625,1.324068233851918,4.7500369779,0.0,1.3845969999872222e-05,1.3770239988898053e-05,1.1396060680467352e-05,0.0,2.15953351237345e-09,False,,,,False
1,AuInPdY,Y1In1Pd1Au1_mp_1215995,2.3876743068,2.187429917,4.962727836936054,2.3888949155129646,2.185008840633156,4.961465128115078,2.2706842351618963,3.2574721184215973,6.804321764674558,2.739935038198672,11.319369984374642,0.8696887440240443,0.0259268247425681,13,20.7501951913,2.180268676462102,21.5502105851,5.75629406594142,5.428915609969158,4.072902760752188,3.3706781468293974,5.287264219394032,4.9320506132174815,False,0.05855446581547837,0.34593792204133406,0.06954610384237353,True
2,Pd2SnY,Y1Sn1Pd2_mp_5538,2.1421948378,3.3776582062,5.795878355279724,2.1423727819045024,3.376926138137613,5.79563801717673,1.7162466041892894,4.382372303311898,7.377341876892546,2.3506363069070817,9.563756642731086,0.8307202687860608,0.0237930112271936,13,1.8500219925,2.2828356551399924,22.9502375243,7.669174478344413,7.481052313240942,5.897930480916882,4.8810459152415575,7.076404205903527,6.805576808495151,False,0.024835513964849565,0.2626074562119702,0.039023503203869776,True
3,Hg3Tl,Tl1Hg3_mp_11474,0.8754686439,3.744005318,4.591384136042202,0.875500296971661,3.743692693037056,4.591303698067322,1.2264104119995611,4.154189714992715,5.022123512676268,0.9813568733101644,3.2496184515649613,0.3956062280126036,0.1070550376304771,11,6.1500503114,1.602398577587697,9.7500923721,2.518091944901544,2.554893387742562,2.422183301768575,2.0045654911188207,2.1088110557933537,2.1082963350084394,False,-0.014509045866402672,0.03883212575520141,0.0002441108275273627,True
4,AuLiSb,Li1Sb1Au1_mp_12564,1.15905622,3.9590864148,11.039219673083782,1.159089293057419,3.958777167052202,11.039062651981144,2.788503163011089,6.721743178517173,15.092362847583216,2.364691299337314,7.986159755053527,0.7842638217714114,0.0625888610027979,5,35.3503400712,1.9330368440129653,37.45038048,3.967240610416748,4.327514657860719,3.937319482585354,3.258471295932707,3.4720970973030054,3.769337320581265,False,-0.08692260252110848,0.007570635276043553,-0.08214044675503338,True
7,AgSe,Ag1Se1_mp_379,1.306372288,4.2338506348,8.127375762464782,1.3064095672395677,4.233537664504912,8.127261730299676,1.91973294543728,5.665914111481603,10.585861467357551,2.160096177030266,5.907675216283251,0.8572089416107975,0.1193153664183602,7,3.3500236445,1.307597155563808,23.2502432969,5.123409173039716,5.457863191877939,4.858570710343799,4.02088610511211,4.598007205908698,4.822903333009482,False,-0.06323728477959925,0.05307576944138014,-0.04775310444555749,True
8,BiPb,Bi1Pb1_mp_1227326,2.1179792803,4.2819962085,5.175393041798855,2.1180397900869075,4.281651812044577,5.175320616349706,1.2087205694286438,4.738881109893361,5.5619079017417645,0.4578455552253988,2.0095290807663453,0.3498749865208426,0.2208805585684944,6,7.7500674933,1.7897333618711395,9.8500942963,9.167385219826576,8.942512469733186,7.423743947479474,6.143788094465771,8.434876692269125,8.20452503717272,False,0.02483551396484978,0.21096859549364533,0.027689261442584278,True
9,HgLa,La1Hg1_mp_734,1.0409253121,4.3600183113,6.723621723334827,1.0409530168754888,4.359685598261017,6.723532975182458,1.54220592830463,5.577116559522058,7.610039346234662,0.5911847041271346,1.7685945110174697,0.4841876406622635,0.2968294651868203,3,11.7501036452,1.9793886369165496,12.0501094179,3.847220109102798,4.04783292239534,3.741804808291971,3.096666048241631,3.2645024428242726,3.4667881788457926,False,-0.05083081910888787,0.02778277382319319,-0.06012120851111604,True
10,BiNa,Na1Bi1_mp_22924,1.4582344168,4.5123587613,5.635114658407582,1.4582352598088368,4.512350408163565,5.635113152969234,1.2488199371162336,4.967403033957497,6.586260834389357,3.059751302306776,16.066502020127118,0.8666806587579986,0.0225127772958666,7,3.5500274929,1.8004527780661697,21.8502163578,6.5504890643152285,6.520243792815354,5.808916799348317,4.807379420150332,6.0016538917944855,5.846081888416221,False,0.004627946391826253,0.12014559697465729,0.026263405687704716,True
11,AgCdSb,Cd1Ag1Sb1_mp_542065,0.8471303397,4.6498611784,7.458162621195652,0.8471650680545993,4.649294716873554,7.458011439227777,1.6041167302560164,5.9197668489548425,8.868272500133939,1.3342282217317811,3.5928942956629206,0.7151573961542103,0.1018965411562213,6,3.2500353259,1.9309585488572063,19.4501701764,2.831450842961361,2.9975762865778584,2.8299419007164945,2.342020883351581,2.362148135164525,2.4475989784047294,False,-0.05701481201883075,0.0005330639822799794,-0.03553610342265832,True
